# symbols.txt - Unicode Symbols Database
# Format: CHAR ; CODEPOINT ; CATEGORY ; SUBCATEGORY ; HE_LABEL ; HE_DESC ; EN_LABEL ; EN_DESC
# Each symbol has unique searchable labels in Hebrew and English
# ═══════════════════════════════════════════════════════════════════════════════════════════

# group: hebrew-punctuation
# subgroup: marks
₪     ; 20AA  ; currency     ; shekel       ; שקל חדש            ; סימן המטבע הישראלי           ; New Shekel         ; Israeli currency symbol
∛     ; 221B  ; math         ; operator     ; שורש שלישי         ; שורש מעוקב                   ; Cube Root          ; Cubic root
∜     ; 221C  ; math         ; operator     ; שורש רביעי         ; שורש מדרגה רביעית            ; Fourth Root        ; Fourth root
∑     ; 2211  ; math         ; operator     ; סיגמא סכום         ; סכום סדרה                    ; Summation          ; Series sum
∏     ; 220F  ; math         ; operator     ; פאי מכפלה          ; מכפלת סדרה                   ; Product            ; Series product
∫     ; 222B  ; math         ; operator     ; אינטגרל            ; אינטגרל מסוים                ; Integral           ; Definite integral
∬     ; 222C  ; math         ; operator     ; אינטגרל כפול       ; אינטגרל דו מימדי             ; Double Integral    ; Surface integral
∭     ; 222D  ; math         ; operator     ; אינטגרל משולש      ; אינטגרל תלת מימדי            ; Triple Integral    ; Volume integral
∮     ; 222E  ; math         ; operator     ; אינטגרל סגור       ; אינטגרל קווי סגור            ; Contour Integral   ; Closed path integral
∂     ; 2202  ; math         ; operator     ; נגזרת חלקית        ; גזירה חלקית                  ; Partial Deriv      ; Partial derivative
∇     ; 2207  ; math         ; operator     ; נבלה גרדיאנט       ; אופרטור גרדיאנט              ; Nabla Del          ; Gradient operator
∆     ; 2206  ; math         ; operator     ; דלתא הפרש          ; הפרש או שינוי                ; Delta Diff         ; Difference operator

# subgroup: logic
∧     ; 2227  ; math         ; logic        ; וגם לוגי           ; קונינקציה AND                ; Logical And        ; Conjunction
∨     ; 2228  ; math         ; logic        ; או לוגי            ; דיסיונקציה OR                ; Logical Or         ; Disjunction
¬     ; 00AC  ; math         ; logic        ; לא לוגי            ; שלילה NOT                    ; Logical Not        ; Negation
⊻     ; 22BB  ; math         ; logic        ; או בלעדי           ; XOR בלעדי                    ; Logical Xor        ; Exclusive or
⊼     ; 22BC  ; math         ; logic        ; לא וגם             ; NAND                         ; Logical Nand       ; Not and
⊽     ; 22BD  ; math         ; logic        ; לא או              ; NOR                          ; Logical Nor        ; Not or
⇒     ; 21D2  ; math         ; logic        ; גורר               ; אימפליקציה                   ; Implies            ; Logical implication
⇔     ; 21D4  ; math         ; logic        ; אם ורק אם          ; שקילות לוגית                 ; Iff Biconditional  ; If and only if
∀     ; 2200  ; math         ; logic        ; לכל                ; כמת אוניברסלי                ; For All            ; Universal quantifier
∃     ; 2203  ; math         ; logic        ; קיים               ; כמת קיום                     ; Exists             ; Existential quantifier
∄     ; 2204  ; math         ; logic        ; לא קיים            ; אי קיום                      ; Not Exists         ; Non-existence

# subgroup: sets
∈     ; 2208  ; math         ; set          ; שייך ל             ; איבר בקבוצה                  ; Element Of         ; Set membership
∉     ; 2209  ; math         ; set          ; לא שייך            ; לא איבר בקבוצה               ; Not Element        ; Not a member
∋     ; 220B  ; math         ; set          ; מכיל               ; קבוצה מכילה                  ; Contains           ; Set contains
∌     ; 220C  ; math         ; set          ; לא מכיל            ; קבוצה לא מכילה               ; Not Contains       ; Set not contains
⊂     ; 2282  ; math         ; set          ; תת קבוצה           ; הכלה ממש                     ; Subset             ; Proper subset
⊃     ; 2283  ; math         ; set          ; על קבוצה           ; מכיל ממש                     ; Superset           ; Proper superset
⊆     ; 2286  ; math         ; set          ; תת קבוצה שווה      ; הכלה או שוויון               ; Subset Equal       ; Subset or equal
⊇     ; 2287  ; math         ; set          ; על קבוצה שווה      ; מכיל או שווה                 ; Superset Equal     ; Superset or equal
∪     ; 222A  ; math         ; set          ; איחוד              ; איחוד קבוצות                 ; Union              ; Set union
∩     ; 2229  ; math         ; set          ; חיתוך              ; חיתוך קבוצות                 ; Intersection       ; Set intersection
∅     ; 2205  ; math         ; set          ; קבוצה ריקה         ; הקבוצה הריקה                 ; Empty Set          ; Null set
ℕ     ; 2115  ; math         ; set          ; טבעיים             ; המספרים הטבעיים              ; Naturals           ; Natural numbers
ℤ     ; 2124  ; math         ; set          ; שלמים              ; המספרים השלמים               ; Integers           ; Integer numbers
ℚ     ; 211A  ; math         ; set          ; רציונליים          ; המספרים הרציונליים           ; Rationals          ; Rational numbers
ℝ     ; 211D  ; math         ; set          ; ממשיים             ; המספרים הממשיים              ; Reals              ; Real numbers
ℂ     ; 2102  ; math         ; set          ; מרוכבים            ; המספרים המרוכבים             ; Complex            ; Complex numbers

# group: greek-letters
# subgroup: uppercase
Α     ; 0391  ; greek        ; uppercase    ; אלפא גדולה         ; אות יוונית A                 ; Alpha Upper        ; Greek capital alpha
Β     ; 0392  ; greek        ; uppercase    ; בטא גדולה          ; אות יוונית B                 ; Beta Upper         ; Greek capital beta
Γ     ; 0393  ; greek        ; uppercase    ; גמא גדולה          ; אות יוונית G                 ; Gamma Upper        ; Greek capital gamma
Δ     ; 0394  ; greek        ; uppercase    ; דלתא גדולה         ; אות יוונית D משולש           ; Delta Upper        ; Greek capital delta
Ε     ; 0395  ; greek        ; uppercase    ; אפסילון גדולה      ; אות יוונית E                 ; Epsilon Upper      ; Greek capital epsilon
Ζ     ; 0396  ; greek        ; uppercase    ; זטא גדולה          ; אות יוונית Z                 ; Zeta Upper         ; Greek capital zeta
Η     ; 0397  ; greek        ; uppercase    ; אטא גדולה          ; אות יוונית H ארוכה           ; Eta Upper          ; Greek capital eta
Θ     ; 0398  ; greek        ; uppercase    ; תטא גדולה          ; אות יוונית TH                ; Theta Upper        ; Greek capital theta
Ι     ; 0399  ; greek        ; uppercase    ; יוטא גדולה         ; אות יוונית I                 ; Iota Upper         ; Greek capital iota
Κ     ; 039A  ; greek        ; uppercase    ; קפא גדולה          ; אות יוונית K                 ; Kappa Upper        ; Greek capital kappa
Λ     ; 039B  ; greek        ; uppercase    ; למדא גדולה         ; אות יוונית L                 ; Lambda Upper       ; Greek capital lambda
Μ     ; 039C  ; greek        ; uppercase    ; מיו גדולה          ; אות יוונית M                 ; Mu Upper           ; Greek capital mu
Ν     ; 039D  ; greek        ; uppercase    ; ניו גדולה          ; אות יוונית N                 ; Nu Upper           ; Greek capital nu
Ξ     ; 039E  ; greek        ; uppercase    ; קסי גדולה          ; אות יוונית X                 ; Xi Upper           ; Greek capital xi
Ο     ; 039F  ; greek        ; uppercase    ; אומיקרון גדולה     ; אות יוונית O קצרה            ; Omicron Upper      ; Greek capital omicron
Π     ; 03A0  ; greek        ; uppercase    ; פאי גדולה          ; אות יוונית P                 ; Pi Upper           ; Greek capital pi
Ρ     ; 03A1  ; greek        ; uppercase    ; רו גדולה           ; אות יוונית R                 ; Rho Upper          ; Greek capital rho
Σ     ; 03A3  ; greek        ; uppercase    ; סיגמא גדולה        ; אות יוונית S סכום            ; Sigma Upper        ; Greek capital sigma
Τ     ; 03A4  ; greek        ; uppercase    ; טאו גדולה          ; אות יוונית T                 ; Tau Upper          ; Greek capital tau
Υ     ; 03A5  ; greek        ; uppercase    ; אופסילון גדולה     ; אות יוונית U                 ; Upsilon Upper      ; Greek capital upsilon
Φ     ; 03A6  ; greek        ; uppercase    ; פי גדולה           ; אות יוונית PH                ; Phi Upper          ; Greek capital phi
Χ     ; 03A7  ; greek        ; uppercase    ; חי גדולה           ; אות יוונית CH                ; Chi Upper          ; Greek capital chi
Ψ     ; 03A8  ; greek        ; uppercase    ; פסי גדולה          ; אות יוונית PS                ; Psi Upper          ; Greek capital psi
Ω     ; 03A9  ; greek        ; uppercase    ; אומגה גדולה        ; אות יוונית O ארוכה           ; Omega Upper        ; Greek capital omega

# subgroup: lowercase
α     ; 03B1  ; greek        ; lowercase    ; אלפא               ; אות יוונית a                 ; Alpha              ; Greek small alpha
β     ; 03B2  ; greek        ; lowercase    ; בטא                ; אות יוונית b                 ; Beta               ; Greek small beta
γ     ; 03B3  ; greek        ; lowercase    ; גמא                ; אות יוונית g                 ; Gamma              ; Greek small gamma
δ     ; 03B4  ; greek        ; lowercase    ; דלתא               ; אות יוונית d                 ; Delta              ; Greek small delta
ε     ; 03B5  ; greek        ; lowercase    ; אפסילון            ; אות יוונית e                 ; Epsilon            ; Greek small epsilon
ζ     ; 03B6  ; greek        ; lowercase    ; זטא                ; אות יוונית z                 ; Zeta               ; Greek small zeta
η     ; 03B7  ; greek        ; lowercase    ; אטא                ; אות יוונית ארוכה             ; Eta                ; Greek small eta
θ     ; 03B8  ; greek        ; lowercase    ; תטא                ; אות יוונית th זווית          ; Theta              ; Greek small theta
ι     ; 03B9  ; greek        ; lowercase    ; יוטא               ; אות יוונית i                 ; Iota               ; Greek small iota
κ     ; 03BA  ; greek        ; lowercase    ; קפא                ; אות יוונית k                 ; Kappa              ; Greek small kappa
λ     ; 03BB  ; greek        ; lowercase    ; למדא               ; אות יוונית l גלי             ; Lambda             ; Greek small lambda
μ     ; 03BC  ; greek        ; lowercase    ; מיו                ; אות יוונית m מיקרו           ; Mu                 ; Greek small mu micro
ν     ; 03BD  ; greek        ; lowercase    ; ניו                ; אות יוונית n                 ; Nu                 ; Greek small nu
ξ     ; 03BE  ; greek        ; lowercase    ; קסי                ; אות יוונית x                 ; Xi                 ; Greek small xi
ο     ; 03BF  ; greek        ; lowercase    ; אומיקרון           ; אות יוונית o קצרה            ; Omicron            ; Greek small omicron
ρ     ; 03C1  ; greek        ; lowercase    ; רו                 ; אות יוונית r                 ; Rho                ; Greek small rho
ς     ; 03C2  ; greek        ; lowercase    ; סיגמא סופית        ; סיגמא סוף מילה               ; Final Sigma        ; Greek small final sigma
σ     ; 03C3  ; greek        ; lowercase    ; סיגמא              ; אות יוונית s                 ; Sigma              ; Greek small sigma
τ     ; 03C4  ; greek        ; lowercase    ; טאו                ; אות יוונית t                 ; Tau                ; Greek small tau
υ     ; 03C5  ; greek        ; lowercase    ; אופסילון           ; אות יוונית u                 ; Upsilon            ; Greek small upsilon

φ     ; 03C6  ; greek        ; lowercase    ; פי אות             ; אות יוונית phi ph            ; Phi Letter         ; Greek letter phi
χ     ; 03C7  ; greek        ; lowercase    ; חי                 ; אות יוונית ch                ; Chi                ; Greek small chi
ψ     ; 03C8  ; greek        ; lowercase    ; פסי                ; אות יוונית ps                ; Psi                ; Greek small psi
ω     ; 03C9  ; greek        ; lowercase    ; אומגה              ; אות יוונית o ארוכה           ; Omega              ; Greek small omega

# group: arrows
# subgroup: basic
←     ; 2190  ; arrow        ; direction    ; חץ שמאלה           ; כיוון שמאל                   ; Left Arrow         ; Leftward arrow
↑     ; 2191  ; arrow        ; direction    ; חץ למעלה           ; כיוון מעלה                   ; Up Arrow           ; Upward arrow
→     ; 2192  ; arrow        ; direction    ; חץ ימינה           ; כיוון ימין                   ; Right Arrow        ; Rightward arrow
↓     ; 2193  ; arrow        ; direction    ; חץ למטה            ; כיוון מטה                    ; Down Arrow         ; Downward arrow
↔     ; 2194  ; arrow        ; direction    ; חץ אופקי           ; שני כיוונים אופקי            ; Left Right         ; Horizontal bidirectional
↕     ; 2195  ; arrow        ; direction    ; חץ אנכי            ; שני כיוונים אנכי             ; Up Down            ; Vertical bidirectional
↖     ; 2196  ; arrow        ; direction    ; חץ שמאל למעלה      ; אלכסון שמאל עליון            ; Up Left            ; Northwest arrow
↗     ; 2197  ; arrow        ; direction    ; חץ ימין למעלה      ; אלכסון ימין עליון            ; Up Right           ; Northeast arrow
↘     ; 2198  ; arrow        ; direction    ; חץ ימין למטה       ; אלכסון ימין תחתון            ; Down Right         ; Southeast arrow
↙     ; 2199  ; arrow        ; direction    ; חץ שמאל למטה       ; אלכסון שמאל תחתון            ; Down Left          ; Southwest arrow
↩     ; 21A9  ; arrow        ; turn         ; חץ חזרה שמאל       ; פנייה לשמאל                  ; Left Hook          ; Leftward with hook
↪     ; 21AA  ; arrow        ; turn         ; חץ חזרה ימין       ; פנייה לימין                  ; Right Hook         ; Rightward with hook
↺     ; 21BA  ; arrow        ; circular     ; חץ נגד השעון       ; סיבוב נגד כיוון השעון        ; Counter Clock      ; Counterclockwise
↻     ; 21BB  ; arrow        ; circular     ; חץ עם השעון        ; סיבוב עם כיוון השעון         ; Clockwise          ; Clockwise rotation

# subgroup: double
⇐     ; 21D0  ; arrow        ; double       ; חץ כפול שמאלה      ; חץ כפול שמאל                 ; Double Left        ; Leftward double arrow
⇑     ; 21D1  ; arrow        ; double       ; חץ כפול למעלה      ; חץ כפול מעלה                 ; Double Up          ; Upward double arrow
⇒     ; 21D2  ; arrow        ; double       ; חץ גורר            ; חץ כפול אימפליקציה           ; Arrow Implies      ; Double arrow implies
⇓     ; 21D3  ; arrow        ; double       ; חץ כפול למטה       ; חץ כפול מטה                  ; Double Down        ; Downward double arrow
⇔     ; 21D4  ; arrow        ; double       ; חץ שקול            ; חץ כפול שקילות               ; Arrow Iff          ; Double arrow biconditional

# subgroup: special
⤴     ; 2934  ; arrow        ; curved       ; חץ מעוקל ימינה     ; עלייה ימינה                  ; Curve Up Right     ; Rising rightward curve
⤵     ; 2935  ; arrow        ; curved       ; חץ מעוקל שמאלה     ; ירידה שמאלה                  ; Curve Down Right   ; Falling rightward curve
➔     ; 2794  ; arrow        ; heavy        ; חץ עבה ימינה       ; חץ מודגש                     ; Heavy Right        ; Heavy rightward arrow
➜     ; 279C  ; arrow        ; heavy        ; חץ מלא ימינה       ; חץ גוף מלא                   ; Filled Right       ; Filled rightward arrow
➡     ; 27A1  ; arrow        ; heavy        ; חץ שחור ימינה      ; חץ שחור                      ; Black Right        ; Black rightward arrow

# group: shapes
# subgroup: circles
●     ; 25CF  ; shape        ; circle       ; עיגול מלא          ; עיגול שחור                   ; Black Circle       ; Filled circle
○     ; 25CB  ; shape        ; circle       ; עיגול ריק          ; עיגול לבן                    ; White Circle       ; Empty circle
◐     ; 25D0  ; shape        ; circle       ; עיגול חצי שמאל     ; חצי עיגול שמאלי              ; Left Half          ; Circle left half black
◑     ; 25D1  ; shape        ; circle       ; עיגול חצי ימין     ; חצי עיגול ימני               ; Right Half         ; Circle right half black
◒     ; 25D2  ; shape        ; circle       ; עיגול חצי תחתון    ; חצי עיגול תחתון              ; Bottom Half        ; Circle lower half black
◓     ; 25D3  ; shape        ; circle       ; עיגול חצי עליון    ; חצי עיגול עליון              ; Top Half           ; Circle upper half black
◉     ; 25C9  ; shape        ; circle       ; עיגול בתוך עיגול   ; עיגול עם נקודה               ; Fisheye            ; Circle with dot inside
◌     ; 25CC  ; shape        ; circle       ; עיגול מקווקו       ; עיגול נקודות                 ; Dotted Circle      ; Dashed circle outline

# subgroup: squares
■     ; 25A0  ; shape        ; square       ; ריבוע מלא          ; ריבוע שחור                   ; Black Square       ; Filled square
□     ; 25A1  ; shape        ; square       ; ריבוע ריק          ; ריבוע לבן                    ; White Square       ; Empty square
▢     ; 25A2  ; shape        ; square       ; ריבוע מעוגל        ; ריבוע פינות מעוגלות          ; Rounded Square     ; Square with rounded corners
▣     ; 25A3  ; shape        ; square       ; ריבוע בריבוע       ; ריבוע בתוך ריבוע             ; Square in Square   ; White square containing black
▪     ; 25AA  ; shape        ; square       ; ריבוע קטן שחור     ; ריבוע שחור קטן               ; Small Black Sq     ; Small black square
▫     ; 25AB  ; shape        ; square       ; ריבוע קטן לבן      ; ריבוע לבן קטן                ; Small White Sq     ; Small white square

# subgroup: triangles
▲     ; 25B2  ; shape        ; triangle     ; משולש למעלה        ; משולש שחור מעלה              ; Up Triangle        ; Black up-pointing triangle
△     ; 25B3  ; shape        ; triangle     ; משולש ריק מעלה     ; משולש לבן מעלה               ; White Up Tri       ; White up-pointing triangle
▶     ; 25B6  ; shape        ; triangle     ; משולש ימינה        ; משולש שחור ימין הפעל         ; Right Triangle     ; Black right-pointing triangle
▷     ; 25B7  ; shape        ; triangle     ; משולש ריק ימין     ; משולש לבן ימין               ; White Right Tri    ; White right-pointing triangle
▼     ; 25BC  ; shape        ; triangle     ; משולש למטה         ; משולש שחור מטה               ; Down Triangle      ; Black down-pointing triangle
▽     ; 25BD  ; shape        ; triangle     ; משולש ריק מטה      ; משולש לבן מטה                ; White Down Tri     ; White down-pointing triangle
◀     ; 25C0  ; shape        ; triangle     ; משולש שמאלה        ; משולש שחור שמאל              ; Left Triangle      ; Black left-pointing triangle
◁     ; 25C1  ; shape        ; triangle     ; משולש ריק שמאל     ; משולש לבן שמאל               ; White Left Tri     ; White left-pointing triangle

# subgroup: diamonds
◆     ; 25C6  ; shape        ; diamond      ; מעוין מלא          ; מעוין שחור                   ; Black Diamond      ; Filled diamond
◇     ; 25C7  ; shape        ; diamond      ; מעוין ריק          ; מעוין לבן                    ; White Diamond      ; Empty diamond
◈     ; 25C8  ; shape        ; diamond      ; מעוין בתוך מעוין   ; מעוין עם מעוין               ; Diamond in Diam    ; White diamond containing black

# subgroup: stars
★     ; 2605  ; shape        ; star         ; כוכב מלא           ; כוכב שחור חמש קודקודים       ; Black Star         ; Filled five-pointed star
☆     ; 2606  ; shape        ; star         ; כוכב ריק           ; כוכב לבן חמש קודקודים        ; White Star         ; Empty five-pointed star
✦     ; 2726  ; shape        ; star         ; כוכב ארבע שחור     ; כוכב ארבע קודקודים           ; Four Point Star    ; Black four-pointed star
✧     ; 2727  ; shape        ; star         ; כוכב ארבע לבן      ; כוכב ארבע לבן                ; White Four Star    ; White four-pointed star
✩     ; 2729  ; shape        ; star         ; כוכב מודגש         ; כוכב עם גבול                 ; Stress Star        ; Stress outlined star
✪     ; 272A  ; shape        ; star         ; כוכב בעיגול        ; כוכב מוקף עיגול              ; Circled Star       ; Circled white star
✴     ; 2734  ; shape        ; star         ; כוכב שמונה         ; כוכב שמונה קודקודים          ; Eight Point        ; Eight-pointed star
✶     ; 2736  ; shape        ; star         ; כוכב שש            ; כוכב שש קודקודים             ; Six Point Star     ; Six-pointed black star
✡     ; 2721  ; shape        ; star         ; מגן דוד            ; כוכב שש קודקודים יהודי       ; Star of David      ; Star of David hexagram

# group: symbols
# subgroup: check-marks
✓     ; 2713  ; symbol       ; check        ; וי אישור           ; סימון חיובי                  ; Check Mark         ; Checkmark approval
✔     ; 2714  ; symbol       ; check        ; וי מודגש           ; סימון חיובי עבה              ; Heavy Check        ; Bold checkmark
✗     ; 2717  ; symbol       ; check        ; איקס דחייה         ; סימון שלילי                  ; Ballot X           ; Rejection cross
✘     ; 2718  ; symbol       ; check        ; איקס מודגש         ; סימון שלילי עבה              ; Heavy X            ; Bold rejection cross
☐     ; 2610  ; symbol       ; check        ; תיבת סימון         ; תיבה ריקה לסימון             ; Ballot Box         ; Empty checkbox
☑     ; 2611  ; symbol       ; check        ; תיבה עם וי         ; תיבה מסומנת וי               ; Box with Check     ; Checkbox with checkmark
☒     ; 2612  ; symbol       ; check        ; תיבה עם איקס       ; תיבה מסומנת X                ; Box with X         ; Checkbox with X

# subgroup: card-suits
♠     ; 2660  ; symbol       ; card         ; עלה שחור           ; סדרת עלים בקלפים             ; Black Spade        ; Spade card suit
♡     ; 2661  ; symbol       ; card         ; לב לבן             ; סדרת לבבות לבן               ; White Heart        ; White heart card suit
♢     ; 2662  ; symbol       ; card         ; יהלום לבן          ; סדרת יהלומים לבן             ; White Diamond      ; White diamond card suit
♣     ; 2663  ; symbol       ; card         ; תלתן שחור          ; סדרת תלתנים בקלפים           ; Black Club         ; Club card suit
♤     ; 2664  ; symbol       ; card         ; עלה לבן            ; סדרת עלים לבן                ; White Spade        ; White spade card suit
♥     ; 2665  ; symbol       ; card         ; לב אדום            ; סדרת לבבות אדום              ; Red Heart          ; Red heart card suit
♦     ; 2666  ; symbol       ; card         ; יהלום אדום         ; סדרת יהלומים אדום            ; Red Diamond        ; Red diamond card suit
♧     ; 2667  ; symbol       ; card         ; תלתן לבן           ; סדרת תלתנים לבן              ; White Club         ; White club card suit

# subgroup: music
♩     ; 2669  ; symbol       ; music        ; תו רבע             ; תו רבע מוזיקלי               ; Quarter Note       ; Musical quarter note
♪     ; 266A  ; symbol       ; music        ; תו שמינית          ; תו שמינית מוזיקלי            ; Eighth Note        ; Musical eighth note
♫     ; 266B  ; symbol       ; music        ; תווים מחוברים      ; שני תווים מחוברים            ; Beamed Notes       ; Beamed eighth notes
♬     ; 266C  ; symbol       ; music        ; תווים כפולים       ; תווים שישית עשרה             ; Beamed Sixteenth   ; Beamed sixteenth notes
♭     ; 266D  ; symbol       ; music        ; במול               ; הורדת חצי טון                ; Flat               ; Musical flat sign
♮     ; 266E  ; symbol       ; music        ; בקר                ; ביטול דיאז או במול           ; Natural            ; Musical natural sign
♯     ; 266F  ; symbol       ; music        ; דיאז               ; העלאת חצי טון                ; Sharp              ; Musical sharp sign
𝄞     ; 1D11E ; symbol       ; music        ; מפתח סול           ; מפתח סול טרבל                ; Treble Clef        ; G clef treble
𝄢     ; 1D122 ; symbol       ; music        ; מפתח פה            ; מפתח פה באס                  ; Bass Clef          ; F clef bass

# subgroup: weather
☀     ; 2600  ; symbol       ; weather      ; שמש                ; שמש בהירה מזג אוויר          ; Sun                ; Clear sunny weather
☁     ; 2601  ; symbol       ; weather      ; ענן                ; יום מעונן                    ; Cloud              ; Cloudy weather
☂     ; 2602  ; symbol       ; weather      ; מטריה              ; גשם צפוי                     ; Umbrella           ; Rain expected
☃     ; 2603  ; symbol       ; weather      ; איש שלג            ; מזג אוויר שלג                ; Snowman            ; Snowy weather
☄     ; 2604  ; symbol       ; weather      ; שביט               ; כוכב שביט מטאור              ; Comet              ; Comet meteor
☼     ; 263C  ; symbol       ; weather      ; שמש לבנה           ; שמש עם קרניים                ; White Sun          ; Sun with rays
⚡     ; 26A1  ; symbol       ; weather      ; ברק                ; סופת ברקים                   ; Lightning          ; Lightning thunderstorm
❄     ; 2744  ; symbol       ; weather      ; פתית שלג           ; שלג יורד                     ; Snowflake          ; Falling snow
❅     ; 2745  ; symbol       ; weather      ; פתית עבה           ; שלג כבד                      ; Tight Snowflake    ; Heavy snowflake

# subgroup: legal
©     ; 00A9  ; symbol       ; legal        ; זכויות יוצרים      ; סימן קופירייט                ; Copyright          ; Copyright symbol
®     ; 00AE  ; symbol       ; legal        ; סימן רשום          ; סימן מסחרי רשום              ; Registered         ; Registered trademark
™     ; 2122  ; symbol       ; legal        ; סימן מסחרי         ; סימן טריידמארק               ; Trademark          ; Trademark symbol
℗     ; 2117  ; symbol       ; legal        ; זכויות הקלטה       ; סימן פונוגרם                 ; Sound Recording    ; Sound recording copyright
℠     ; 2120  ; symbol       ; legal        ; סימן שירות         ; סרוויס מארק                  ; Service Mark       ; Service mark symbol

# subgroup: reference
§     ; 00A7  ; symbol       ; reference    ; סעיף               ; סימן סעיף בחוק               ; Section            ; Section sign
¶     ; 00B6  ; symbol       ; reference    ; פסקה               ; סימן פסקה חדשה               ; Pilcrow            ; Paragraph sign
†     ; 2020  ; symbol       ; reference    ; צלב הערה           ; סימן הערת שוליים             ; Dagger             ; Footnote marker
‡     ; 2021  ; symbol       ; reference    ; צלב כפול           ; סימן הערה שנייה              ; Double Dagger      ; Second footnote marker
※     ; 203B  ; symbol       ; reference    ; כוכב הפניה         ; סימן הפניה יפני              ; Reference Mark     ; Japanese reference mark
•     ; 2022  ; symbol       ; reference    ; נקודה תבליט        ; סימון רשימה                  ; Bullet             ; Bullet point
◦     ; 25E6  ; symbol       ; reference    ; עיגול תבליט        ; תבליט עיגול ריק              ; White Bullet       ; White bullet point
‣     ; 2023  ; symbol       ; reference    ; משולש תבליט        ; תבליט משולש                  ; Triangle Bullet    ; Triangular bullet

