# he.txt - Hebrew Phoneme Database
# Format: CHAR ; CODEPOINT ; CATEGORY ; SUBCATEGORY ; HE_LABEL ; HE_DESC ; EN_LABEL ; EN_DESC
# Unified format for bilingual search
# ═══════════════════════════════════════════════════════════════════════════════════════════

# group: vowels
# subgroup: nikud
ַ     ; 05B7 ; vowel        ; open         ; פתח            ; תנועה פתוחה a            ; Patach         ; Open vowel a as in father
# subgroup: marks
׀     ; 05C0 ; punctuation  ; separator    ; פסיק           ; סימן הפרדה               ; Paseq          ; Separator mark
׃     ; 05C3 ; punctuation  ; stop         ; סוף פסוק       ; סימן סיום פסוק           ; Sof Pasuq      ; End of verse mark
־     ; 05BE ; punctuation  ; hyphen       ; מקף            ; מקף מילים                ; Maqaf          ; Hebrew hyphen
׳     ; 05F3 ; punctuation  ; abbreviation ; גרש            ; סימן קיצור               ; Geresh         ; Abbreviation mark
״     ; 05F4 ; punctuation  ; abbreviation ; גרשיים         ; סימן ראשי תיבות          ; Gershayim      ; Acronym mark

# group: mg-gendered
# subgroup: pronouns
הוא/היא  ; MG:h ; mg          ; pronoun-subj ; כינוי נושא     ; כינוי גוף שלישי נושא     ; He She         ; Third person subject pronoun
הוא      ; MG:h.m ; mg        ; pronoun-subj ; הוא זכר        ; כינוי נושא זכר           ; He             ; Male subject pronoun
היא      ; MG:h.f ; mg        ; pronoun-subj ; היא נקבה       ; כינוי נושא נקבה          ; She            ; Female subject pronoun
שלו/שלה  ; MG:o ; mg          ; pronoun-poss ; כינוי קניין    ; כינוי שייכות             ; His Her        ; Possessive pronoun
שלו      ; MG:o.m ; mg        ; pronoun-poss ; שלו זכר        ; כינוי קניין זכר          ; His            ; Male possessive
שלה      ; MG:o.f ; mg        ; pronoun-poss ; שלה נקבה       ; כינוי קניין נקבה         ; Her            ; Female possessive
אותו/אותה ; MG:l ; mg         ; pronoun-obj  ; כינוי מושא     ; כינוי גוף מושא           ; Him Her        ; Object pronoun
אותו     ; MG:l.m ; mg        ; pronoun-obj  ; אותו זכר       ; כינוי מושא זכר           ; Him            ; Male object pronoun
אותה     ; MG:l.f ; mg        ; pronoun-obj  ; אותה נקבה      ; כינוי מושא נקבה          ; Her Object     ; Female object pronoun
הם/הן    ; MG:t ; mg          ; pronoun-pl   ; כינוי רבים     ; כינוי גוף רבים           ; They           ; Plural pronoun
הם       ; MG:t.m ; mg        ; pronoun-pl   ; הם זכר         ; כינוי רבים זכר           ; They Male      ; Male plural pronoun
הן       ; MG:t.f ; mg        ; pronoun-pl   ; הן נקבה        ; כינוי רבים נקבה          ; They Female    ; Female plural pronoun
שלהם/שלהן ; MG:i ; mg         ; pronoun-poss ; קניין רבים     ; כינוי קניין רבים         ; Their          ; Plural possessive
שלהם     ; MG:i.m ; mg        ; pronoun-poss ; שלהם זכר       ; קניין רבים זכר           ; Their Male     ; Male plural possessive
שלהן     ; MG:i.f ; mg        ; pronoun-poss ; שלהן נקבה      ; קניין רבים נקבה          ; Their Female   ; Female plural possessive
אתה/את   ; MG:y ; mg          ; pronoun-2sg  ; אתה את         ; כינוי גוף שני יחיד       ; You Singular   ; Second person singular
אתה      ; MG:y.m ; mg        ; pronoun-2sg  ; אתה זכר        ; כינוי שני יחיד זכר       ; You Male Sg    ; Male second person singular
את       ; MG:y.f ; mg        ; pronoun-2sg  ; את נקבה        ; כינוי שני יחיד נקבה      ; You Female Sg  ; Female second person singular
אתם/אתן  ; MG:u ; mg          ; pronoun-2pl  ; אתם אתן        ; כינוי גוף שני רבים       ; You Plural     ; Second person plural
אתם      ; MG:u.m ; mg        ; pronoun-2pl  ; אתם זכר        ; כינוי שני רבים זכר       ; You Male Pl    ; Male second person plural
אתן      ; MG:u.f ; mg        ; pronoun-2pl  ; אתן נקבה       ; כינוי שני רבים נקבה      ; You Female Pl  ; Female second person plural
עצמו/עצמה ; MG:r ; mg         ; pronoun-refl ; כינוי חוזר     ; כינוי עצמי               ; Himself Herself; Reflexive pronoun
עצמו     ; MG:r.m ; mg        ; pronoun-refl ; עצמו זכר       ; כינוי חוזר זכר           ; Himself        ; Male reflexive
עצמה     ; MG:r.f ; mg        ; pronoun-refl ; עצמה נקבה      ; כינוי חוזר נקבה          ; Herself        ; Female reflexive

# subgroup: people
איש/אישה ; MG:p ; mg          ; person       ; אדם            ; איש או אישה              ; Man Woman      ; Person male or female
איש      ; MG:p.m ; mg        ; person       ; איש זכר        ; אדם זכר                  ; Man            ; Male person
אישה     ; MG:p.f ; mg        ; person       ; אישה נקבה      ; אדם נקבה                 ; Woman          ; Female person
ילד/ילדה ; MG:c ; mg          ; child        ; ילד            ; ילד או ילדה              ; Boy Girl       ; Child male or female
ילד      ; MG:c.m ; mg        ; child        ; ילד זכר        ; ילד בן                   ; Boy            ; Male child
ילדה     ; MG:c.f ; mg        ; child        ; ילדה נקבה      ; ילדה בת                  ; Girl           ; Female child
בן/בת    ; MG:s ; mg          ; offspring    ; צאצא           ; בן או בת                 ; Son Daughter   ; Offspring
בן       ; MG:s.m ; mg        ; offspring    ; בן זכר         ; צאצא זכר                 ; Son            ; Male offspring
בת       ; MG:s.f ; mg        ; offspring    ; בת נקבה        ; צאצא נקבה                ; Daughter       ; Female offspring
אב/אם    ; MG:d ; mg          ; parent       ; הורה           ; אב או אם                 ; Father Mother  ; Parent
אב       ; MG:d.m ; mg        ; parent       ; אב זכר         ; הורה זכר                 ; Father         ; Male parent
אם       ; MG:d.f ; mg        ; parent       ; אם נקבה        ; הורה נקבה                ; Mother         ; Female parent
אח/אחות  ; MG:b ; mg          ; sibling      ; אח אחות        ; אח או אחות               ; Brother Sister ; Sibling
אח       ; MG:b.m ; mg        ; sibling      ; אח זכר         ; אח                       ; Brother        ; Male sibling
אחות     ; MG:b.f ; mg        ; sibling      ; אחות נקבה      ; אחות                     ; Sister         ; Female sibling
בעל/אישה ; MG:w ; mg          ; spouse       ; בן זוג         ; בעל או אישה              ; Husband Wife   ; Spouse
בעל      ; MG:w.m ; mg        ; spouse       ; בעל זכר        ; בן זוג זכר               ; Husband        ; Male spouse
דוד/דודה ; MG:a ; mg          ; relative     ; דוד דודה       ; דוד או דודה              ; Uncle Aunt     ; Uncle or aunt
דוד      ; MG:a.m ; mg        ; relative     ; דוד זכר        ; אח של הורה               ; Uncle          ; Male parent sibling
דודה     ; MG:a.f ; mg        ; relative     ; דודה נקבה      ; אחות של הורה             ; Aunt           ; Female parent sibling
מר/גברת  ; MG:n ; mg          ; title        ; תואר           ; תואר פנייה               ; Mr Ms          ; Honorific title
מר       ; MG:n.m ; mg        ; title        ; מר זכר         ; תואר זכר                 ; Mr             ; Male honorific
גברת     ; MG:n.f ; mg        ; title        ; גברת נקבה      ; תואר נקבה                ; Ms             ; Female honorific
מלך/מלכה ; MG:k ; mg          ; royalty      ; מלוכה          ; מלך או מלכה              ; King Queen     ; Royalty
מלך      ; MG:k.m ; mg        ; royalty      ; מלך זכר        ; שליט זכר                 ; King           ; Male monarch
מלכה     ; MG:k.f ; mg        ; royalty      ; מלכה נקבה      ; שליטה נקבה               ; Queen          ; Female monarch

# subgroup: suffixes
ים/ות    ; MG:g ; mg          ; suffix-pl    ; סיומת רבים     ; סיומת רבים ים או ות      ; Plural Suffix  ; Hebrew plural -im/-ot
ים       ; MG:g.m ; mg        ; suffix-pl    ; סיומת ים       ; סיומת רבים זכר           ; Im Suffix      ; Male plural suffix -im
ות       ; MG:g.f ; mg        ; suffix-pl    ; סיומת ות       ; סיומת רבים נקבה          ; Ot Suffix      ; Female plural suffix -ot
ד/ת      ; MG:j ; mg          ; suffix-pres  ; סיומת הווה     ; סיומת בינוני עומד/ת      ; Present Suffix ; Hebrew present tense
י/ת      ; MG:v ; mg          ; suffix-adj   ; סיומת לאום     ; סיומת שם תואר עברי/ת     ; Nationality    ; Nationality suffix -i/-it
ה/ת      ; MG:x ; mg          ; suffix-qual  ; סיומת תכונה    ; סיומת תואר יפה/ת         ; Quality Suffix ; Quality adjective suffix
ו/ה      ; MG:e ; mg          ; suffix-poss  ; סיומת קניין    ; סיומת שייכות שלו/ה       ; Possessive Suf ; Possessive suffix -o/-a
בּ/ב     ; MG:q ; mg          ; dagesh       ; דגש קל         ; עם או בלי דגש            ; Dagesh Toggle  ; With or without dagesh
